职位名称,地区,薪水,标签,能力要求,公司名字,福利待遇,详情链接,最低薪水,最高薪水,平均薪水,经验要求,学历要求,城市,福利个数
人工智能产品经理,北京·丰台区·七里庄,20-25K,"3-5年, 本科","人工智能产品, 市场调研, 产品设计, 墨刀, Visio, axure, 机器学习算法, 应用场景",首信科技,五险一金，补充医疗保险，股票期权，节日福利，年终奖，定期体检，带薪年假，加班补助,https://www.zhipin.com/job_detail/95a6049f3e70f1df1XV409S6E1ZU.html?lid=T9gGlKwCWt.search.101&securityId=OD6pvcGlSnaL9-51tnrt3zt6VDqy96Ol9b4k3Zz4NcFDTPc9pFKHNw4bZ9PLyaoa6pfXcVVc3EWFGjP8bVkCRg6G2TN3Y-dN677gNZOik8wIhMOWUkYUaFGNgwpuf8i4WbSaIClFKiMKrFy_uXdARw~~&sessionId=,20,25,22.5,3-5年,本科,北京,8
人工智能专业方案经理,北京·海淀区·西北旺,25-40K,"10年以上, 本科","机器学习类AI, 语音类AI, 视觉类AI, AI机器人, 产教融合, 实训室, 专业共建",联想教育,员工旅游，通讯补贴，交通补助，餐补，五险一金，定期体检，补充医疗保险，免费班车，股票期权，带薪年假,https://www.zhipin.com/job_detail/66f731b20d6b66921XFz0t69FldT.html?lid=T9gGlKwCWt.search.102&securityId=aChMrJprFZPQB-B1OOcD_RMu9d5M238ohIRn__LKthq2kuCFAeR-4FCH7LHNtxxVVDZPvN5fs4JRFHTTsij0zCIlR3LP5iIceRZjzq05xpawWHaS_g~~&sessionId=,25,40,32.5,10年以上,本科,北京,10
人工智能算法专家,北京·大兴区·亦庄,20-30K,"3-5年, 本科","Python, TensorFlow, PyTorch, 自然语言处理项目经验, 知识图谱相关经验",北京着力,五险一金,https://www.zhipin.com/job_detail/7d404e0808e3bdd51X143Nu-GFBV.html?lid=T9gGlKwCWt.search.103&securityId=c14ohqW6LKgrn-21iwCnANLjrnLAgvYcOvEUaJvKMjh_i3hrQkLbt0QVkEkvl22JDb7UX-VnVdwE1TzuAaYKm8oCmqRzDkvkRAl3-ZF50Wd3FHLQPwzf&sessionId=,20,30,25,3-5年,本科,北京,1
人工智能算法专家,北京·朝阳区·望京,35-40K,"经验不限, 硕士","算法设计, 视觉图像算法, 运动控制算法, 数据采集, 数据分析",品尚国际,,https://www.zhipin.com/job_detail/ce962a8bcce719371nB-3tq8EFJV.html?lid=T9gGlKwCWt.search.104&securityId=LaT1qijL4qBCo-h1UczgjVGjT5nANS4jt9siNwJgeiY7gFQDP81g4QLMZSPk7xfdWktlsOpoJkRetDm7CuaIQFEgSmQEOZLB1fXpbWvTn7cXj3c~&sessionId=,35,40,37.5,经验不限,硕士,北京,1
农业人工智能-博士后,北京·海淀区·四季青,10-15K,"1-3年, 博士",视觉图像算法,北京农业信息技术...,,https://www.zhipin.com/job_detail/a26c2571df183c621XZ-2Ni4F1pV.html?lid=T9gGlKwCWt.search.105&securityId=Zg3U_NwkWDyL7-31cixutDAyGCJX_YQhBwBK_lZGaZ8PHlx_x4BRd2CcLwfUQfqw2O0RV1oUfICGv_iv0jvoJ_cLASCD4gEP7nqWOpPwXw_Dr6Tlmcpx&sessionId=,10,15,12.5,1-3年,博士,北京,1
人工智能产品经理,北京·海淀区·马连洼,25-50K·15薪,"5-10年, 本科","智能家居, AI机器人, 机器学习类AI, 人工智能, AI, AR, VR",联想弘扬,,https://www.zhipin.com/job_detail/adec624a0a5ebc811Xx82t60FltV.html?lid=T9gGlKwCWt.search.106&securityId=bzdNKFSkqCfno-31EWcWDOud0bDUgN1ahMhJrYJ0jGYB7DejP96wmH5YTaUuLetNc5Fgv5JpxhAaOEPmC3nJFtP5CtQvDKie3jHKf43YrQQy79juzTg~&sessionId=,25,50,37.5,5-10年,本科,北京,1
人工智能产品经理,北京,10-15K,"3-5年, 大专","产品设计, 人工智能产品, 智能硬件产品, 数据分析, 数据产品",法宣在线,五险一金，股票期权，节日福利，定期体检，带薪年假，年终奖,https://www.zhipin.com/job_detail/3226f9c53d3d25431nF_3t-7FFFW.html?lid=T9gGlKwCWt.search.107&securityId=tKY74vONpHmCL-H13MhZGBFzsjkYbTBrMsu5CM-J7xXr5FmTW6TZozBLpXs3TB_cghuiokn6K0L4Hz5IZEzR0pHGSvb27l0wOGvTmRQpA7ydiMxzS-M~&sessionId=,10,15,12.5,3-5年,大专,北京,6
人工智能讲师,北京·大兴区·旧宫,18-28K,"1-3年, 本科",Python,唐城产融创新服务中心,节日福利，五险一金，加班补助，带薪年假，全勤奖，年终奖，餐补，定期体检，员工旅游,https://www.zhipin.com/job_detail/e74332e999c71d1c1X1629m9FFpW.html?lid=T9gGlKwCWt.search.108&securityId=Zh_XdC-BpsORz-R1bV7IVGljLxExd0HRGV1sr328E-3_0fIxRH5LC0qKvfLFRyhhzpT-sqkkUrbVEJW3UqY5PWeKmpWOK0NNv--LEYKGhQ0sCvI~&sessionId=,18,28,23,1-3年,本科,北京,9
人工智能研究员,北京·海淀区·五棵松,25-40K,"在校/应届, 博士","业务导向/研究导向, 搜索/推荐, 语音/图像识别, Python, TensorFlow/PyTorch, CNN/RNN/LSTM, 计算机相关专业, 深度学习经验, 有国际期刊/会议论文发表",航天二院706所,年终奖，通讯补贴，定期体检，节日福利，带薪年假，餐补，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/9d48c8a28f5becda1XJ_2t-0F1NZ.html?lid=T9gGlKwCWt.search.109&securityId=ZMDomkxsOcQry-Y1RE0NASGi-fxgdqZYqI7gN-sng0-V7RgAdBK_Ddfcdev_3rdUv7g9Y8V-wWqZZaIVMnzhEjw5NCr47kr47QnQwAFB68Lpl-19hw~~&sessionId=,25,40,32.5,在校/应届,博士,北京,8
互联网人工智能软件开发,北京·海淀区·五道口,8-13K,"经验不限, 学历不限","视觉图像算法, 自然语言处理, Python, Java, C#, C语言, 音视频编解码, 人工智能",百全文化,,https://www.zhipin.com/job_detail/545ad951fc7cc72b0XZ8396_FlQ~.html?lid=T9gGlKwCWt.search.110&securityId=n9ER7qLxjFAS0-d1Z1-RgHiEuLiGEbR81wpoootM-Mmwj56Mk_n-GaRCwFV7UBE--6ydsheEzQFIzhYZ2ftomWx7zNn19PFsFCnAGRB_hhljNGlC&sessionId=,8,13,10.5,经验不限,学历不限,北京,1
web后端工程师-北大人工智能公司,北京·海淀区·中关村,12-24K·13薪,"1-3年, 本科","Python, 后端开发, 人工智能, Java, 大数据",砥脊科技,五险一金，年终奖，带薪年假，节日福利,https://www.zhipin.com/job_detail/f449713d2946da131nd739i8EVpS.html?lid=T9gGlKwCWt.search.111&securityId=cEDhyo_E7WqvT-T1fdFmzWg8ocSCYcKLIPIz3TUEOQgX3x42h-R8cBRfFX07u1epkslZ_m5cvrgn-JeXwz3bfUwbwS3o9KZojr2TKxghFcXPjrKujQ~~&sessionId=,12,24,18,1-3年,本科,北京,4
人工智能首席专家,北京·海淀区·上地,20-40K,"5-10年, 硕士","深度学习算法, 算法设计",中电普信,全勤奖，带薪病假，节日福利，带薪年假，零食下午茶，餐补，五险一金，加班补助，年终奖，补充医疗保险，股票期权，定期体检,https://www.zhipin.com/job_detail/e3eee2ea7200860e1nx409y1FFFT.html?lid=T9gGlKwCWt.search.112&securityId=FQS7sNajSmlas-b12Z50GCDncVeGybAdrenHmnp3ZnN_WhFC1VLlnET-lmePvzWdsNGin7CMwt92v4NZk9aRoDxm4iPDay2rG1F4n_CStWty8ePO&sessionId=,20,40,30,5-10年,硕士,北京,12
人工智能设计师,北京·东城区·和平里,20-30K·15薪,"1-3年, 博士","业务导向/研究导向, 体系验证优化设计",航天科工智能运筹...,定期体检，年终奖，免费班车，带薪年假，补充医疗保险，五险一金，餐补，节日福利,https://www.zhipin.com/job_detail/770f635a2416358d1XNy3t27FFBU.html?lid=T9gGlKwCWt.search.113&securityId=Y1IcuYf7SPECl-81bIE1Ui7yeIoCu33yE5eTGK_D1QMHTV1VtCjSUTI1rrP30BXl2EcngJ38lFXpCm2n8ZbpGaiKD2wNWOIzZ98d5YISH5woUjE0-y0~&sessionId=,20,30,25,1-3年,博士,北京,8
人工智能工程师,北京·东城区·东直门,10-11K,"经验不限, 本科","Java, Python, TensorFlow/PyTorch, 计算机相关专业",中国中医科学院中...,,https://www.zhipin.com/job_detail/cd2cb915900c7a711XJz3d64FlBZ.html?lid=T9gGlKwCWt.search.114&securityId=P06EyC-vmluA3-F1J3oaoQlEWYSK3sgtYejG3uBWTGPIynI_c6KDfbciO1rwuLIUTyBRkBttwRkPhrs6GOOGNUQbXKLy_3v9FW4lyYLtIl8hn4JTCw~~&sessionId=,10,11,10.5,经验不限,本科,北京,1
人工智能商务,北京·朝阳区·建国门,10-15K,"3-5年, 本科","深度学习算法, 人工智能, 大数据, 商业智能",数林,节日福利，带薪年假，全勤奖，加班补助，年终奖,https://www.zhipin.com/job_detail/666b897aad9f8d8d0HN73d-1F1s~.html?lid=T9gGlKwCWt.search.115&securityId=ADbi4KSziV0Ra-h1GGxf4B7E9ihEeqWQHRAmq5YWNaMvJbX9Svo2MM2k-Srs5Rfr9qREaK0RvxGCsoWaSu7KvHmJJ9QMMLQgF6oxMzSoyxolC5xx&sessionId=,10,15,12.5,3-5年,本科,北京,5
人工智能算法工程师,北京·西城区·宣武门,25-26K,"3-5年, 本科","深度学习算法, 视觉图像算法, 自然语言处理, 人脸识别",中移雄安,年终奖，定期体检，包吃，六险二金，通讯补贴，住房补贴，带薪年假，补充医疗保险，不加班，餐补，节日福利，五险一金，零食下午茶,https://www.zhipin.com/job_detail/8e66b8981640e2ec0HF62dW9E1Y~.html?lid=T9gGlKwCWt.search.116&securityId=eEWBXDnXhUFrB-j1q2sFTH8lBiuO1f6kz3IM20KEO2umWlhT4mxEa_przyMslzLin4D3kgxsjbHNKnmQFyQuqRuvxy1qxpvSe9kubV05MuEOvhGt&sessionId=,25,26,25.5,3-5年,本科,北京,13
人工智能产品经理,北京·海淀区·中关村,20-40K·16薪,"5-10年, 硕士","产品经理, 算法产品, 用户画像, 自然语言处理",汽车之家,五险一金，餐补，零食下午茶，带薪年假，节日福利，股票期权，全勤奖，员工旅游，交通补助，定期体检，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/fe3818cc962234e01HVy2tm1E1Y~.html?lid=T9gGlKwCWt.search.117&securityId=Mf3YLsAdrkhrO-F1Ya9kf4bK5ZCIZidklM1L37Sc0MMZtHL-L6E_prrZ2M4l6aT4hrAnPBaJau-ODFu4ySiGY7mMAwGYFN81wzt5ZAoWJz6fUg~~&sessionId=,20,40,30,5-10年,硕士,北京,12
人工智能算法工程师,北京·通州区·马驹桥,20-40K·15薪,"5-10年, 博士","算法设计, C++, Python, 视觉图像算法, 语音算法",灵动天地,餐补，年终奖，五险一金，交通补助，带薪年假，定期体检,https://www.zhipin.com/job_detail/ae04850fa3fc18281XZy0tS8GVRV.html?lid=T9gGlKwCWt.search.120&securityId=AmZS2WHvLwpGS-H1Fky0reIkA31psTDGDyjC80QG14-bq_9fst71F_24IP3DhB3mPg68ab52F43yPARw69KnhVQz2zGuZCGFb0Sn5RL6-7Uv1xFT&sessionId=,20,40,30,5-10年,博士,北京,6
人工智能工程师,北京,10-15K,"1-3年, 本科","前端开发, JavaScript, CSS, HTML, React, JQuery, Web端, 移动端",云嘉速腾,五险一金，带薪年假，节日福利,https://www.zhipin.com/job_detail/23b668bb5a2614871nR52NS_ElBX.html?lid=SWmUcVMEJ3.search.31&securityId=q8nP9UCyHezPF-01lxQEGng4qKEqnLQf_Jx3hlRAoer4KsQlNEnlG8gHEjEtpc0b9B4BaXTTFwZnHnyzvMji-i0eabbtJQZ7iERXMK0d8LGgdFeT5-xM&sessionId=,10,15,12.5,1-3年,本科,北京,3
人工智能研究员,北京,11-20K·15薪,"在校/应届, 硕士","深度学习算法, 机器学习算法, 文本分类, 实体识别, 知识图谱",中国司法大数据研...,企业年金，通讯补贴，零食下午茶，交通补助，绩效奖金，节日福利，团建聚餐，年终奖，定期体检，意外险，餐补，生日福利，补充医疗保险，工会福利，五险一金，高温补贴，带薪年假,https://www.zhipin.com/job_detail/34fbd00a8cdd09861XV-2tS1FVdT.html?lid=SWmUcVMEJ3.search.32&securityId=pG6f5US2CZzs6-P1vTpksUHzG9ic4A4gDABisBYamLFdNcTYMoLzy-pTYWj8IjjOaDBtM2EEm8uR1Sy29rXWXUCfG4p377nYpaNH_7SbKmV_nvEq&sessionId=,11,20,15.5,在校/应届,硕士,北京,17
人工智能,北京·朝阳区·亚运村,16-30K,"1年以内, 硕士","丰富的渠道和客户资源, 对高净值客户销售, 对机构销售, 金融产品营销类职位, 基金公司, 投资并购, 销售团队管理经验, 投资机构（VC/PE）",中博聚力,员工旅游，五险一金，定期体检，带薪年假，补充医疗保险,https://www.zhipin.com/job_detail/828168b4c9435daa1XZ-3NW7F1BT.html?lid=SWmUcVMEJ3.search.34&securityId=uzRRcdKzqExRB-61VKafcnB_QzEeP9eMxfrj6m3iXLk_iWV4ccbwQ8uGvdmKUorJgHm5hFRzGeD9GnowfqVSdTVoOgBjk5ST5Xc6P5bhcOCAVSk0IA~~&sessionId=,16,30,23,1年以内,硕士,北京,5
人工智能,北京·海淀区·知春路,26-50K·16薪,"3-5年, 本科","C++, Python, 分布式技术, Spark, 算法基础, 自然语言处理, 深度学习算法, 视觉图像算法",腾讯科技(北京)公司,五险一金，加班补助，定期体检，零食下午茶，包吃，餐补，补充医疗保险，节日福利，免费班车,https://www.zhipin.com/job_detail/02679d1e8a96f7d01XV_3t60GFpW.html?lid=SWmUcVMEJ3.search.35&securityId=9tX8WIOV9KVhV-f1yVm94x970OXITx1YjKSBX7rFsfjpQnNH8TeV9zcRLZN0I5gIsesIMUMXrOr-fq8Znlav0iO1HzXgKYKDaNpx-0kIFcJkPBqh&sessionId=,26,50,38,3-5年,本科,北京,9
人工智能研发主管,北京·朝阳区·酒仙桥,23-35K,"经验不限, 硕士","深度学习算法, 自然语言处理, Python, 数据分析, 人工智能",北京海研,股票期权，五险一金，员工旅游，免费班车，年终奖，带薪年假，通讯补贴，定期体检，全勤奖，补充医疗保险，零食下午茶,https://www.zhipin.com/job_detail/7f028983135be9a80Xx73dm8Flo~.html?lid=SWmUcVMEJ3.search.36&securityId=h0d8TOhU8jAUM-s1Uw0KaDuCYqgW3SpdNT5J2nk4qYmOBbTSrp51sBWOAHCTVNgn9sEcRa4PnjGtrH59ha3lMK8wXiyqb3GKAjZHDVtNvW0Yj7Wv&sessionId=,23,35,29,经验不限,硕士,北京,11
人工智能算法专家,北京·海淀区·苏州街,30-55K,"3-5年, 本科","有国际期刊/会议论文发表, Transformer, 业务导向/研究导向, 机器学习算法, 深度学习算法, 深度学习经验, 生物医疗, PyTorch, 机器学习算法/工程化经验, TensorFlow/PyTorch, 算法设计, 自然语言处理, Python, TensorFlow",碳硅智慧,交通补助，生日福利，员工旅游，带薪年假，股票期权，五险一金,https://www.zhipin.com/job_detail/48e75b15537981241Xd42d-1E1NR.html?lid=SWmUcVMEJ3.search.37&securityId=zhGakGghczl2p-X1ogJCAdZpLh5UpTRoPHfEbVX2TwJ3oHsDXjC6rW1DvJRbQkRKUp99zb2DY0SR9Jy21ygtKHeQj6mWOIR8q3WAH9DV-4VYr2xDEPc~&sessionId=,30,55,42.5,3-5年,本科,北京,6
人工智能研究科学家,北京·昌平区·回龙观,17-30K,"经验不限, 博士",生命健康,博奥,餐补，五险一金，北京户口，年终奖，定期体检，节日福利，带薪年假，补充医疗保险，交通补助，工作居住证,https://www.zhipin.com/job_detail/fed6ee8f66b271be1Xd90t65FFBZ.html?lid=SWmUcVMEJ3.search.38&securityId=L1Gh7ElZTusaq-X1MYU8-27sCdH5dRQpDG-31zavxrRbwJkyYHtds1N0doAFA4a2K0kWGJR8Z45IcJmjHCMvCLzrciU41IWeJHwZIFCrvzLWo_eMFdH67ox8-IT6XXQ7dSH7lq1-coIrxoMmPXG06A~~&sessionId=,17,30,23.5,经验不限,博士,北京,10
人工智能算法专家,北京·朝阳区·望京,20-40K,"1-3年, 硕士","人工智能, 机器学习, 深度学习",阿里巴巴集团,补充医疗保险，零食下午茶，餐补，五险一金，股票期权，年终奖，免费班车，交通补助，节日福利，员工旅游,https://www.zhipin.com/job_detail/fcc553ebc44840ee1nB72d-7E1o~.html?lid=SWmUcVMEJ3.search.39&securityId=qf594aiHKJahV-I1oLOV6cwvRsTdSkWelhHQ6wxBgC2eb9b-nBhBq4Q4DIDurGpzKG5Syzi8OLjHYV47XKxKoWSXH55KS74gC4KWfaMEA9c~&sessionId=,20,40,30,1-3年,硕士,北京,10
产品经理（人工智能）,北京·房山区·良乡,20-35K,"3-5年, 本科","高级产品经理, 自然语言方向",数字众智,五险一金，节日福利，定期体检，年终奖，带薪年假，补充医疗保险，员工旅游,https://www.zhipin.com/job_detail/8e3e51e2e212fbb31Xx52ty-FVpU.html?lid=SWmUcVMEJ3.search.40&securityId=m4-PdKJi_M_64-u1swlcgOIXDa3Xo037u7-1rO1DBb2Ofw20TLF2uyF8EMzFbiG99u_E4l1gVoC4Jt_AtBPFGNRTonElvSd0p9nuAoYagixQlqdi&sessionId=,20,35,27.5,3-5年,本科,北京,7
人工智能教师（专职/兼职）,北京,5-10K,"1-3年, 本科","教研, 教师资格证, 物理, 数学, 初中教育, 高中教育, 全职兼职均可, 线下授课",启智荣和,员工旅游，节日福利，五险一金，年终奖，带薪年假,https://www.zhipin.com/job_detail/64090dffea5382001XZ70t26GFNV.html?lid=SWmUcVMEJ3.search.41&securityId=6Zh5wGftk0xVu-_1rbTeYGJPaXN_twXRRMW5L1DP0arQ3AJy_H-cVLnyn8gKIhVtbrwODBr8SfeXrqxlEG2_RN_3H3ojCva8umHyzxOqYKYpvhmO6Q~~&sessionId=,5,10,7.5,1-3年,本科,北京,5
项目经理（人工智能）,北京·朝阳区·亚运村,30-35K,"3-5年, 大专","需求分析工程师, 技术管理, 需求分析评估, 产品验收, 需求采集",智通云联,团建，定期体检，年终奖，节日福利，补充医疗保险，五险一金，带薪年假，餐补,https://www.zhipin.com/job_detail/2062a91b232758171n1929i-EVBV.html?lid=SWmUcVMEJ3.search.42&securityId=rT-5c6UEya9D2-01tqIWs4MeW-kuue2s28AxsnMXj_bflsVII54JXvUf1uNI2QhQKpRNzBZlxFftSZW7KifBQy5YnHaTuHooL5iwn6GdvW7j729ndQ~~&sessionId=,30,35,32.5,3-5年,大专,北京,8
人工智能项目总监,北京·朝阳区·国贸,15-30K,"3-5年, 本科","需求分析工程师, 产品开发, 运维管理",北京贝斯林泰岳教育,带薪年假，节日福利，五险一金,https://www.zhipin.com/job_detail/80a708d7fbd4ca521nN729y-EFRV.html?lid=SWmUcVMEJ3.search.43&securityId=-xoXTvJlhSnL4-x1tQ6Rk54gK5N7_XDrlDiGvgX14gsSCE8wUckk7WA9wHtPBBFBrQ063Xy-SCgKnoKF0aUo8OhAltS4ayCoEEVrefV2_uPPxxaAsb4~&sessionId=,15,30,22.5,3-5年,本科,北京,3
人工智能讲师,北京·大兴区·亦庄,10-15K,"1-3年, 本科","人工智能, 授课, 有亲和力",智教未来人工智能教育,,https://www.zhipin.com/job_detail/7d000bb9bb50f52d03V929m9FVI~.html?lid=SWmUcVMEJ3.search.44&securityId=imZ2TlDib2L9h-d1GmK7v9cl1pEfl0WctK7Hv37sOTKVpEf4dxJHRw5b9iW1ccGfCgYOuczo3rv7rMHGf3aigXEYJJX7L3hDghmR8Rj9HxTXcCT9&sessionId=,10,15,12.5,1-3年,本科,北京,1
人工智能专家,北京·昌平区·回龙观,40-70K·18薪,"5-10年, 博士","计算机相关专业, 数学/统计相关专业",三一重工,五险一金，餐补，专利奖金，免费班车，定期体检，年终奖，节日福利，包吃，带薪年假，股票期权,https://www.zhipin.com/job_detail/e4df5f8e542e59dd1Xxz29S9E1VT.html?lid=SWmUcVMEJ3.search.45&securityId=MxeazxRvAwD8M-21urzdJl_C2puB9J5Faq6RN5tuWOQdvwaBUxpEtFPZG0DiAEBurNjJDMZCdSDBrZJq2opotROaHAQo-nUWc3FN7Lgp91U~&sessionId=,40,70,55,5-10年,博士,北京,10
人工智能讲师,北京·海淀区·西三旗,15-20K,"3-5年, 大专","深度学习算法, 推荐算法, Python, Java, 数据挖掘, 人工智能, 云计算, 数据分析",中科躬行(北京)...,股票期权，住房补贴，员工旅游，加班补助，通讯补贴，五险一金，全勤奖，节日福利，交通补助，年终奖，定期体检,https://www.zhipin.com/job_detail/1356cbfaa898e90633Ry09i-GVc~.html?lid=SWmUcVMEJ3.search.46&securityId=BKF8mKfDhYLRQ-S1ToEC9EKA4vFZdxeItqxP-ePLDgyi5zaL5xdUPL5pQxP5gDJ7q8jNE5DoAbkjuVJK956Rm4PE1Zpfi6XL86qa8gvEeY6uOh1A&sessionId=,15,20,17.5,3-5年,大专,北京,11
人工智能,北京·朝阳区·798,20-40K·15薪,"经验不限, 硕士","有国际期刊/会议论文发表, 研究导向, AI算法安全，对抗样本, 语音/图像识别, Python",360集团,免费班车，餐补，带薪年假，定期体检，五险一金,https://www.zhipin.com/job_detail/269f86b705c5a2731XV409m_F1FV.html?lid=SWmUcVMEJ3.search.47&securityId=oGufysCc1yMxL-O15j7bwkxagj2DKq7Q0QZCls83DAeo0Pr3ZK-ulxC-TN_QFkN8FGEJe9ZLI2KwY1iL5q7wjQTW1n8bWuoCPutChhX_Kxw7EP8sWA~~&sessionId=,20,40,30,经验不限,硕士,北京,5
